"Primary Breed","count_primary_breed"
"Terrier, Jack Russell","185"
"Cane Corso","22"
"Bulldog, English","62"
"Mixed Breed, Medium (up to 44 lbs fully grown)","845"
"Beauceron","3"
"Spaniel","72"
"Cur, Mountain","7"
"Spaniel, French","3"
"Dalmatian","41"
"Harrier","3"
"Finnish Lapphund","1"
"Kuvasz","1"
"Alano Espanol","1"
"Terrier, Bull","25"
"Ibizan Hound","7"
"Lhasa Apso","59"
"Terrier, Tibetan","33"
"American Eskimo","40"
"Picardy Sheepdog","3"
"Terrier, American Staffordshire","225"
"American Blue Heeler","53"
"Rottweiler","95"
"Terrier, Skye","2"
"Spaniel, Welsh Springer","11"
"Setter, Irish","24"
"Lagotto Romagnolo","72"
"Terrier, Norwich","15"
"Coton de Tulear","44"
"Finnish Spitz","2"
"Saluki","7"
"Peruvian Inca Orchid","1"
"Catahoula Leopard dog","92"
"Australian Cattle Dog","608"
"Terrier, Black Russian","3"
"German Spitz","4"
"Havanese","343"
"Coonhound, Treeing Walker","23"
"Australian Shepherd, Miniature","303"
"Setter, Gordon","6"
"Griffon Vendeen, Petit Basset","2"
"Collie, Smooth","28"
"Bully American - Pocket","7"
"Setter, English","19"
"English Shepherd","22"
"Appenzeller Sennenhunde","2"
"Saarloos Wolfdog","1"
"Griffon, Brussels","18"
"Tibetan Mastiff","1"
"Samoyed","64"
"Shetland Sheepdog","67"
"Pekingese","33"
"Pumi","1"
"Papillon","53"
"Norwegian Lundehund","2"
